guidao_station_name,guidao_line_name,guidao_jingdu_str,guidao_weidu_str,gongjiao_station_name,gongjiao_line_name,gongjiao_jingdu_str,gongjiao_weidu_str,range_str,distance,guidao_line_begin,guidao_line_end,gongjiao_line_begin,gongjiao_line_end,guidao_station_orderid,gongjiao_station_orderid
张郭庄,地铁14号线,116.187193,39.8581,地铁张郭庄站,专177路,116.18680099979346,39.858163999552936,"[1, 49]",34.2083,张郭庄,善各庄,地铁张郭庄站,太子峪陵园,0,0
张郭庄,地铁14号线,116.187193,39.8581,地铁张郭庄站,专177路,116.18680099979346,39.858163999552936,"[1, 49]",34.2083,张郭庄,善各庄,地铁张郭庄站,太子峪陵园,0,0
张郭庄,地铁14号线,116.187193,39.8581,地铁张郭庄站,专177路,116.18710499957979,39.85792500041881,"[1, 49]",20.8585,张郭庄,善各庄,太子峪陵园,地铁张郭庄站,0,7
张郭庄,地铁14号线,116.187193,39.8581,地铁张郭庄站,专177路,116.18710499957979,39.85792500041881,"[1, 49]",20.8585,张郭庄,善各庄,太子峪陵园,地铁张郭庄站,0,7
张郭庄,地铁14号线,116.187193,39.8581,地铁张郭庄站,专178路,116.18710500021247,39.85792999999481,"[1, 49]",20.3408,张郭庄,善各庄,二七厂,地铁张郭庄站,0,5
张郭庄,地铁14号线,116.187193,39.8581,地铁张郭庄站,专178路,116.18710500021247,39.85792999999481,"[1, 49]",20.3408,张郭庄,善各庄,二七厂,地铁张郭庄站,0,5
张郭庄,地铁14号线,116.187193,39.8581,地铁张郭庄站,专178路,116.18680099979346,39.858163999552936,"[1, 49]",34.2083,张郭庄,善各庄,地铁张郭庄站,二七厂,0,0
张郭庄,地铁14号线,116.187193,39.8581,地铁张郭庄站,专178路,116.18680099979346,39.858163999552936,"[1, 49]",34.2083,张郭庄,善各庄,地铁张郭庄站,二七厂,0,0
张郭庄,地铁14号线,116.187193,39.8581,地铁张郭庄站,专65路,116.1871110000054,39.85792899960079,"[1, 49]",20.2617,张郭庄,善各庄,二七厂,地铁张郭庄站,0,7
张郭庄,地铁14号线,116.187193,39.8581,地铁张郭庄站,专65路,116.1871110000054,39.85792899960079,"[1, 49]",20.2617,张郭庄,善各庄,二七厂,地铁张郭庄站,0,7
张郭庄,地铁14号线,116.187193,39.8581,地铁张郭庄站,专65路,116.18680599970689,39.858165999656194,"[1, 49]",33.8385,张郭庄,善各庄,地铁张郭庄站,二七厂,0,0
张郭庄,地铁14号线,116.187193,39.8581,地铁张郭庄站,专65路,116.18680599970689,39.858165999656194,"[1, 49]",33.8385,张郭庄,善各庄,地铁张郭庄站,二七厂,0,0
园博园,地铁14号线,116.201643,39.861328,地铁园博园站,391路,116.20165299998959,39.861439000292556,"[1, 49]",12.3721,张郭庄,善各庄,公交技校,地铁园博园站,1,23
园博园,地铁14号线,116.201643,39.861328,地铁园博园站,391路,116.20165299998959,39.861439000292556,"[1, 49]",12.3721,张郭庄,善各庄,公交技校,地铁园博园站,1,23
园博园,地铁14号线,116.201643,39.861328,地铁园博园站,565路,116.2015969994946,39.86143700027248,"[1, 49]",12.7403,张郭庄,善各庄,怪村公交场站,地铁园博园站,1,23
园博园,地铁14号线,116.201643,39.861328,地铁园博园站,565路,116.2015969994946,39.86143700027248,"[1, 49]",12.7403,张郭庄,善各庄,怪村公交场站,地铁园博园站,1,23
园博园,地铁14号线,116.201643,39.861328,地铁园博园站,574路,116.20180600035819,39.8614449996743,"[1, 49]",19.0476,张郭庄,善各庄,京原路口东,大灰厂,1,10
园博园,地铁14号线,116.201643,39.861328,地铁园博园站,574路,116.20180600035819,39.8614449996743,"[1, 49]",19.0476,张郭庄,善各庄,京原路口东,大灰厂,1,10
园博园,地铁14号线,116.201643,39.861328,地铁园博园站,574路,116.20141499974153,39.861215000377015,"[1, 49]",23.1644,张郭庄,善各庄,大灰厂,衙门口东,1,12
园博园,地铁14号线,116.201643,39.861328,地铁园博园站,574路,116.20141499974153,39.861215000377015,"[1, 49]",23.1644,张郭庄,善各庄,大灰厂,衙门口东,1,12
园博园,地铁14号线,116.201643,39.861328,地铁园博园站,830路,116.20136999986804,39.861214000396444,"[1, 49]",26.5262,张郭庄,善各庄,怪村公交场站,菜户营西站,1,19
园博园,地铁14号线,116.201643,39.861328,地铁园博园站,830路,116.20136999986804,39.861214000396444,"[1, 49]",26.5262,张郭庄,善各庄,怪村公交场站,菜户营西站,1,19
园博园,地铁14号线,116.201643,39.861328,地铁园博园站,830路,116.20184899989388,39.86144500004284,"[1, 49]",21.8725,张郭庄,善各庄,菜户营桥西,怪村公交场站,1,16
园博园,地铁14号线,116.201643,39.861328,地铁园博园站,830路,116.20184899989388,39.86144500004284,"[1, 49]",21.8725,张郭庄,善各庄,菜户营桥西,怪村公交场站,1,16
园博园,地铁14号线,116.201643,39.861328,地铁园博园站,专115路,116.20196199946821,39.86144999956975,"[1, 49]",30.4198,张郭庄,善各庄,盛德东兴家园北,地铁园博园站,1,5
园博园,地铁14号线,116.201643,39.861328,地铁园博园站,专115路,116.20196199946821,39.86144999956975,"[1, 49]",30.4198,张郭庄,善各庄,盛德东兴家园北,地铁园博园站,1,5
园博园,地铁14号线,116.201643,39.861328,地铁园博园站,专33路,116.20171399983853,39.86143100041049,"[1, 49]",12.9575,张郭庄,善各庄,二七通信工厂,地铁园博园站,1,7
园博园,地铁14号线,116.201643,39.861328,地铁园博园站,专33路,116.20171399983853,39.86143100041049,"[1, 49]",12.9575,张郭庄,善各庄,二七通信工厂,地铁园博园站,1,7
园博园,地铁14号线,116.201643,39.861328,地铁园博园站,专55路,116.20161900023446,39.86143700034175,"[1, 49]",12.2921,张郭庄,善各庄,丰台梨园村,地铁园博园站,1,9
园博园,地铁14号线,116.201643,39.861328,地铁园博园站,专55路,116.20161900023446,39.86143700034175,"[1, 49]",12.2921,张郭庄,善各庄,丰台梨园村,地铁园博园站,1,9
东管头,地铁14号线,116.3209,39.867769,丽泽桥东,458路,116.3205179999376,39.86807600005657,"[1, 49]",47.2037,张郭庄,善各庄,北京南站,南宫迎宾路南站,7,8
东管头,地铁14号线,116.3209,39.867769,丽泽桥东,458路,116.3205179999376,39.86807600005657,"[1, 49]",47.2037,张郭庄,善各庄,北京南站,南宫迎宾路南站,7,8
东管头,地铁14号线,116.3209,39.867769,丽泽桥东,958路,116.32066000038834,39.8680860002984,"[1, 49]",40.7678,张郭庄,善各庄,龙潭公园,雍王府,7,14
东管头,地铁14号线,116.3209,39.867769,丽泽桥东,958路,116.32066000038834,39.8680860002984,"[1, 49]",40.7678,张郭庄,善各庄,龙潭公园,雍王府,7,14
蒲黄榆,地铁14号线,116.42372,39.865621,蒲方路西口,128路,116.42330300054626,39.86561599963372,"[1, 49]",35.5942,张郭庄,善各庄,后库,肖村桥北,16,18
